time	V(p001)
3.084506019654013e-003	3.723961e+000
3.086487787067000e-003	3.730253e+000
3.088944032182186e-003	3.736959e+000
3.091710602197422e-003	3.743564e+000
3.095128158742120e-003	3.750659e+000
3.099376405049071e-003	3.758246e+000
3.104403047040275e-003	3.765678e+000
3.112548940163615e-003	3.775195e+000
3.121634790996004e-003	3.783289e+000
3.131400415996004e-003	3.789598e+000
3.141166040996004e-003	3.794106e+000
3.150931665996004e-003	3.797358e+000
3.160697290996003e-003	3.799659e+000
3.180228540996003e-003	3.802023e+000
3.199759790996003e-003	3.801828e+000
3.219291040996002e-003	3.799071e+000
3.238822290996002e-003	3.793136e+000
3.248587915996002e-003	3.788454e+000
3.258353540996001e-003	3.782018e+000
3.268119165996001e-003	3.772976e+000
3.277884790996001e-003	3.760022e+000
3.287650415996001e-003	3.741856e+000
3.293383673474777e-003	3.727176e+000
3.299679987247090e-003	3.705933e+000
3.303614034662479e-003	3.687767e+000
3.308062354720751e-003	3.659402e+000
3.310676675977708e-003	3.635333e+000
3.313219644050926e-003	3.602023e+000
3.316017201258743e-003	3.555314e+000
3.319739106812171e-003	3.483290e+000
3.323738404559335e-003	3.397327e+000
3.330971632863575e-003	3.227895e+000
3.340387780632806e-003	2.992878e+000
3.350153405632805e-003	2.736774e+000
3.359919030632805e-003	2.470781e+000
3.369684655632805e-003	2.196598e+000
3.379450280632805e-003	1.915474e+000
3.389215905632805e-003	1.628528e+000
3.398981530632804e-003	1.336813e+000
3.408747155632804e-003	1.041363e+000
3.418512780632804e-003	7.431964e-001
3.428278405632804e-003	4.433518e-001
3.438044030632804e-003	1.429579e-001
3.447809655632803e-003	-1.567698e-001
3.457575280632803e-003	-4.546468e-001
3.467340905632803e-003	-7.495723e-001
3.477106530632803e-003	-1.040434e+000
3.486872155632803e-003	-1.326169e+000
3.495237730911689e-003	-1.565730e+000
3.503772795852752e-003	-1.804690e+000
3.511708431104619e-003	-2.021515e+000
3.521474056104619e-003	-2.280718e+000
3.531239681104619e-003	-2.531018e+000
3.541005306104619e-003	-2.771051e+000
3.550770931104618e-003	-2.999911e+000
3.560536556104618e-003	-3.216683e+000
3.570302181104618e-003	-3.422527e+000
3.574318493470567e-003	-3.503456e+000
3.576743292540709e-003	-3.550596e+000
3.579218720779446e-003	-3.597692e+000
3.580590076503171e-003	-3.623375e+000
3.581593651209041e-003	-3.641959e+000
3.582575044340902e-003	-3.659286e+000
3.583405474875932e-003	-3.671143e+000
3.584535343635046e-003	-3.682597e+000
3.585523644546540e-003	-3.690582e+000
3.586550451055513e-003	-3.697897e+000
3.588604064073460e-003	-3.711397e+000
3.591373543819884e-003	-3.730059e+000
3.594460195162581e-003	-3.755017e+000
3.598924660948991e-003	-3.800925e+000
3.603336437027841e-003	-3.854569e+000
3.610967984631398e-003	-3.953896e+000
3.619005914867642e-003	-4.053765e+000
3.628771539867641e-003	-4.153401e+000
3.634717328730023e-003	-4.189478e+000
3.641536255196079e-003	-4.206358e+000
3.646106408056364e-003	-4.211417e+000
3.652184393879343e-003	-4.215020e+000
3.661950018879343e-003	-4.218485e+000
3.671715643879343e-003	-4.220261e+000
3.681481268879343e-003	-4.220811e+000
3.691246893879343e-003	-4.220481e+000
3.701012518879342e-003	-4.219290e+000
3.710778143879342e-003	-4.216971e+000
3.720543768879342e-003	-4.212783e+000
3.730309393879342e-003	-4.204914e+000
3.740075018879342e-003	-4.188104e+000
3.749840643879341e-003	-4.149092e+000
3.759606268879341e-003	-4.073065e+000
3.768478059045983e-003	-3.968586e+000
3.777185882549212e-003	-3.842827e+000
3.784037666855901e-003	-3.741107e+000
3.786900601557109e-003	-3.708123e+000
3.791151807028365e-003	-3.674818e+000
3.791152961309053e-003	-3.674809e+000
3.791194845208288e-003	-3.674564e+000
3.791236729107523e-003	-3.674321e+000
3.791278613006758e-003	-3.674080e+000
3.791320496905994e-003	-3.673841e+000
3.791362380805229e-003	-3.673604e+000
3.791404264704464e-003	-3.673368e+000
3.791446148603699e-003	-3.673134e+000
3.792332636171764e-003	-3.668368e+000
3.793514619595851e-003	-3.661545e+000
3.794340642894845e-003	-3.655046e+000
3.795390241634996e-003	-3.644303e+000
3.796409887961544e-003	-3.632457e+000
3.797454728189456e-003	-3.618944e+000
3.799544408645280e-003	-3.589406e+000
3.800557427302088e-003	-3.573986e+000
3.801671030632141e-003	-3.555872e+000
3.803303598221177e-003	-3.528008e+000
3.804975378264663e-003	-3.498054e+000
3.807051799446465e-003	-3.459152e+000
3.808865623879185e-003	-3.423886e+000
3.813617434735576e-003	-3.326107e+000
3.819215727435896e-003	-3.203540e+000
3.828981352435896e-003	-2.978756e+000
3.838746977435895e-003	-2.742683e+000
3.848512602435895e-003	-2.495800e+000
3.858278227435895e-003	-2.239477e+000
3.868043852435895e-003	-1.974822e+000
3.877809477435895e-003	-1.702900e+000
3.887575102435894e-003	-1.424741e+000
3.897340727435894e-003	-1.141367e+000
3.907106352435894e-003	-8.537952e-001
3.916871977435894e-003	-5.630473e-001
3.926637602435894e-003	-2.702045e-001
3.936403227435894e-003	2.354230e-002
3.946168852435894e-003	3.169762e-001
3.955934477435893e-003	6.089534e-001
3.965700102435893e-003	8.983766e-001
3.975465727435893e-003	1.184265e+000
3.983546090272135e-003	1.416964e+000
3.992001960527709e-003	1.656101e+000
3.998894241107132e-003	1.847518e+000
4.006497290033029e-003	2.054286e+000
4.016262915033029e-003	2.313178e+000
4.026028540033029e-003	2.563859e+000
4.035794165033029e-003	2.804919e+000
4.045559790033028e-003	3.035423e+000
4.055325415033028e-003	3.254415e+000
4.065091040033028e-003	3.460995e+000
4.074856665033028e-003	3.647533e+000
4.077986092402274e-003	3.688942e+000
4.080748097205622e-003	3.708756e+000
4.082352249251623e-003	3.716548e+000
4.084349674730542e-003	3.724121e+000
4.086164435433665e-003	3.729927e+000
4.088442626829564e-003	3.736224e+000
4.090867553451916e-003	3.742147e+000
4.093773064303602e-003	3.748412e+000
4.097511982334197e-003	3.755464e+000
4.102028505887357e-003	3.762706e+000
4.108738890632967e-003	3.771419e+000
4.117528885434390e-003	3.780263e+000
4.127294510434389e-003	3.787475e+000
4.137060135434389e-003	3.792620e+000
4.146825760434389e-003	3.796335e+000
4.156591385434389e-003	3.799001e+000
4.176122635434388e-003	3.801944e+000
4.195653885434388e-003	3.802267e+000
4.215185135434387e-003	3.800077e+000
4.234716385434387e-003	3.794920e+000
4.244482010434387e-003	3.790820e+000
4.254247635434387e-003	3.785223e+000
4.264013260434386e-003	3.777437e+000
4.273778885434386e-003	3.766365e+000
4.283544510434386e-003	3.750639e+000
4.290234010841798e-003	3.735813e+000
