Freq.	V(vin)/I(V3)
4.26579518801589e+003	(7.23602036511189e+001dB,-8.54379009193631e+001°)
4.36515832240162e+003	(7.21606119567874e+001dB,-8.53316228110315e+001°)
4.46683592150960e+003	(7.19610395617729e+001dB,-8.52228682487598e+001°)
4.57088189614871e+003	(7.17614873810490e+001dB,-8.51115794856282e+001°)
4.67735141287194e+003	(7.15619563732307e+001dB,-8.49976974254633e+001°)
4.78630092322634e+003	(7.13624475426807e+001dB,-8.48811615911528e+001°)
4.89778819368442e+003	(7.11629619417201e+001dB,-8.47619100922115e+001°)
5.01187233627268e+003	(7.09635006729477e+001dB,-8.46398795915767e+001°)
5.12861383991361e+003	(7.07640648916753e+001dB,-8.45150052716176e+001°)
5.24807460249768e+003	(7.05646558084829e+001dB,-8.43872207993371e+001°)
5.37031796370248e+003	(7.03652746919018e+001dB,-8.42564582907509e+001°)
5.49540873857620e+003	(7.01659228712311e+001dB,-8.41226482744208e+001°)
5.62341325190344e+003	(6.99666017394955e+001dB,-8.39857196541252e+001°)
5.75439937337152e+003	(6.97673127565507e+001dB,-8.38455996706471e+001°)
5.88843655355584e+003	(6.95680574523453e+001dB,-8.37022138626560e+001°)
6.02559586074353e+003	(6.93688374303471e+001dB,-8.35554860266678e+001°)
6.16595001861477e+003	(6.91696543711418e+001dB,-8.34053381760580e+001°)
6.30957344480188e+003	(6.89705100362146e+001dB,-8.32516904991103e+001°)
6.45654229034650e+003	(6.87714062719231e+001dB,-8.30944613160768e+001°)
6.60693448007590e+003	(6.85723450136732e+001dB,-8.29335670352308e+001°)
6.76082975391976e+003	(6.83733282903081e+001dB,-8.27689221078882e+001°)
6.91830970918931e+003	(6.81743582287213e+001dB,-8.26004389823799e+001°)
7.07945784384132e+003	(6.79754370587080e+001dB,-8.24280280569482e+001°)
7.24435960074984e+003	(6.77765671180649e+001dB,-8.22515976315525e+001°)
7.41310241300911e+003	(6.75777508579556e+001dB,-8.20710538585576e+001°)
7.58577575029177e+003	(6.73789908485523e+001dB,-8.18863006922869e+001°)
7.76247116628685e+003	(6.71802897849726e+001dB,-8.16972398374200e+001°)
7.94328234724275e+003	(6.69816504935260e+001dB,-8.15037706962134e+001°)
8.12830516164092e+003	(6.67830759382875e+001dB,-8.13057903145276e+001°)
8.31763771102664e+003	(6.65845692280173e+001dB,-8.11031933266405e+001°)
8.51138038202369e+003	(6.63861336234456e+001dB,-8.08958718988315e+001°)
8.70963589956073e+003	(6.61877725449435e+001dB,-8.06837156717214e+001°)
8.91250938133738e+003	(6.59894895806020e+001dB,-8.04666117013519e+001°)
9.12010839355902e+003	(6.57912884947419e+001dB,-8.02444443989956e+001°)
9.33254300796983e+003	(6.55931732368802e+001dB,-8.00170954696858e+001°)
9.54992586021428e+003	(6.53951479511782e+001dB,-7.97844438494588e+001°)
9.77237220955802e+003	(6.51972169864009e+001dB,-7.95463656413061e+001°)
9.99999999999991e+003	(6.49993849064149e+001dB,-7.93027340498366e+001°)
1.02329299228075e+004	(6.48016565012592e+001dB,-7.90534193146515e+001°)
1.04712854805089e+004	(6.46040367988192e+001dB,-7.87982886424431e+001°)
1.07151930523760e+004	(6.44065310771424e+001dB,-7.85372061378312e+001°)
1.09647819614318e+004	(6.42091448774318e+001dB,-7.82700327329580e+001°)
1.12201845430195e+004	(6.40118840177565e+001dB,-7.79966261158702e+001°)
1.14815362149687e+004	(6.38147546075241e+001dB,-7.77168406577259e+001°)
1.17489755493952e+004	(6.36177630627585e+001dB,-7.74305273388700e+001°)
1.20226443461740e+004	(6.34209161222313e+001dB,-7.71375336738373e+001°)
1.23026877081237e+004	(6.32242208644977e+001dB,-7.68377036353517e+001°)
1.25892541179416e+004	(6.30276847258911e+001dB,-7.65308775774017e+001°)
1.28824955169312e+004	(6.28313155195339e+001dB,-7.62168921574939e+001°)
1.31825673855640e+004	(6.26351214554240e+001dB,-7.58955802581965e+001°)
1.34896288259164e+004	(6.24391111616621e+001dB,-7.55667709081092e+001°)
1.38038426460287e+004	(6.22432937068884e+001dB,-7.52302892024157e+001°)
1.41253754462274e+004	(6.20476786239988e+001dB,-7.48859562232006e+001°)
1.44543977074591e+004	(6.18522759352192e+001dB,-7.45335889597390e+001°)
1.47910838816819e+004	(6.16570961786157e+001dB,-7.41730002289985e+001°)
1.51356124843619e+004	(6.14621504361274e+001dB,-7.38039985966293e+001°)
1.54881661891247e+004	(6.12674503632101e+001dB,-7.34263882987528e+001°)
1.58489319246110e+004	(6.10730082201854e+001dB,-7.30399691649064e+001°)
1.62181009735891e+004	(6.08788369053938e+001dB,-7.26445365425480e+001°)
1.65958690743755e+004	(6.06849499902553e+001dB,-7.22398812235745e+001°)
1.69824365246173e+004	(6.04913617563465e+001dB,-7.18257893733740e+001°)
1.73780082874936e+004	(6.02980872346068e+001dB,-7.14020424629893e+001°)
1.77827941003891e+004	(6.01051422467930e+001dB,-7.09684172050488e+001°)
1.81970085860997e+004	(5.99125434493032e+001dB,-7.05246854941974e+001°)
1.86208713666285e+004	(5.97203083794999e+001dB,-7.00706143528511e+001°)
1.90546071796323e+004	(5.95284555046606e+001dB,-6.96059658831947e+001°)
1.94984459975803e+004	(5.93370042736932e+001dB,-6.91304972264494e+001°)
1.99526231496886e+004	(5.91459751717528e+001dB,-6.86439605305572e+001°)
2.04173794466951e+004	(5.89553897779017e+001dB,-6.81461029275561e+001°)
2.08929613085402e+004	(5.87652708259520e+001dB,-6.76366665220615e+001°)
2.13796208950221e+004	(5.85756422686361e+001dB,-6.71153883924243e+001°)
2.18776162394953e+004	(5.83865293452439e+001dB,-6.65820006063053e+001°)
2.23872113856832e+004	(5.81979586528658e+001dB,-6.60362302525842e+001°)
2.29086765276775e+004	(5.80099582213756e+001dB,-6.54777994917223e+001°)
2.34422881531990e+004	(5.78225575922804e+001dB,-6.49064256269102e+001°)
2.39883291901947e+004	(5.76357879015536e+001dB,-6.43218211985585e+001°)
2.45470891568501e+004	(5.74496819665564e+001dB,-6.37236941049385e+001°)
2.51188643150956e+004	(5.72642743771350e+001dB,-6.31117477520368e+001°)
2.57039578276884e+004	(5.70796015909606e+001dB,-6.24856812359699e+001°)
2.63026799189536e+004	(5.68957020331537e+001dB,-6.18451895615929e+001°)
2.69153480392689e+004	(5.67126162002020e+001dB,-6.11899639012466e+001°)
2.75422870333814e+004	(5.65303867681454e+001dB,-6.05196918979055e+001°)
2.81838293126443e+004	(5.63490587049540e+001dB,-5.98340580173164e+001°)
2.88403150312658e+004	(5.61686793869767e+001dB,-5.91327439540583e+001°)
2.95120922666636e+004	(5.59892987192710e+001dB,-5.84154290967899e+001°)
3.01995172040199e+004	(5.58109692595580e+001dB,-5.76817910582885e+001°)
3.09029543251356e+004	(5.56337463454614e+001dB,-5.69315062762156e+001°)
3.16227766016835e+004	(5.54576882245962e+001dB,-5.61642506908533e+001°)
3.23593656929625e+004	(5.52828561869661e+001dB,-5.53797005063454e+001°)
3.31131121482588e+004	(5.51093146990079e+001dB,-5.45775330422244e+001°)
3.38844156139199e+004	(5.49371315384855e+001dB,-5.37574276822075e+001°)
3.46736850452528e+004	(5.47663779292873e+001dB,-5.29190669273781e+001°)
