Freq.	V(outint)/V(Vin)
2.29086765276775e+004	(-3.32515065120323e+001dB,8.83243127229426e+001°)
2.34422881531990e+004	(-3.34517278666484e+001dB,8.82673574450186e+001°)
2.39883291901947e+004	(-3.36519604734718e+001dB,8.82094869536390e+001°)
2.45470891568501e+004	(-3.38522048241108e+001dB,8.81506708151431e+001°)
2.51188643150956e+004	(-3.40524614344014e+001dB,8.80908781122923e+001°)
2.57039578276884e+004	(-3.42527308467452e+001dB,8.80300774282956e+001°)
2.63026799189536e+004	(-3.44530136292544e+001dB,8.79682368332456e+001°)
2.69153480392689e+004	(-3.46533103802594e+001dB,8.79053238668481e+001°)
2.75422870333814e+004	(-3.48536217236003e+001dB,8.78413055238480e+001°)
2.81838293126443e+004	(-3.50539483185208e+001dB,8.77761482370503e+001°)
2.88403150312658e+004	(-3.52542908528349e+001dB,8.77098178637793e+001°)
2.95120922666636e+004	(-3.54546500496031e+001dB,8.76422796656389e+001°)
3.01995172040199e+004	(-3.56550266652924e+001dB,8.75734982962372e+001°)
3.09029543251356e+004	(-3.58554214939864e+001dB,8.75034377829147e+001°)
3.16227766016835e+004	(-3.60558353689040e+001dB,8.74320615079108e+001°)
3.23593656929625e+004	(-3.62562691605152e+001dB,8.73593321967113e+001°)
3.31131121482588e+004	(-3.64567237828556e+001dB,8.72852118953528e+001°)
3.38844156139199e+004	(-3.66572001931498e+001dB,8.72096619558920e+001°)
3.46736850452528e+004	(-3.68576993933719e+001dB,8.71326430201084e+001°)
3.54813389233572e+004	(-3.70582224347264e+001dB,8.70541149990721e+001°)
3.63078054770098e+004	(-3.72587704160709e+001dB,8.69740370574338e+001°)
3.71535229097169e+004	(-3.74593444898736e+001dB,8.68923675947057e+001°)
3.80189396320557e+004	(-3.76599458628105e+001dB,8.68090642272202e+001°)
3.89045144994277e+004	(-3.78605757974453e+001dB,8.67240837713887e+001°)
